timestamp,track_id,event,zone,duration,frame
10.78,56,EXIT_ZONE,Dining,0.07,323
10.78,56,ENTER_ZONE,Kitchen,0.00,323
10.88,84,ENTER_ZONE,Kitchen,0.00,326
10.88,56,EXIT_ZONE,Kitchen,0.10,326
10.91,202,ENTER_ZONE,Kitchen,0.00,327
10.91,203,ENTER_ZONE,Kitchen,0.00,327
10.98,156,ENTER_ZONE,Kitchen,0.00,329
10.98,203,EXIT_ZONE,Kitchen,0.07,329
10.98,84,EXIT_ZONE,Kitchen,0.10,329
11.08,84,ENTER_ZONE,Kitchen,0.00,332
11.08,202,EXIT_ZONE,Kitchen,0.17,332
11.08,156,EXIT_ZONE,Kitchen,0.10,332
11.11,202,ENTER_ZONE,Kitchen,0.00,333
11.18,156,ENTER_ZONE,Kitchen,0.00,335
11.18,196,EXIT_ZONE,Kitchen,0.43,335
11.18,84,EXIT_ZONE,Kitchen,0.10,335
11.21,208,ENTER_ZONE,Kitchen,0.00,336
11.28,155,ENTER_ZONE,Kitchen,0.00,338
11.28,184,ENTER_ZONE,Kitchen,0.00,338
11.28,196,ENTER_ZONE,Kitchen,0.00,338
11.28,208,EXIT_ZONE,Kitchen,0.07,338
11.28,202,EXIT_ZONE,Kitchen,0.17,338
11.31,209,ENTER_ZONE,Kitchen,0.00,339
11.38,84,ENTER_ZONE,Kitchen,0.00,341
11.38,209,EXIT_ZONE,Kitchen,0.07,341
11.38,196,EXIT_ZONE,Kitchen,0.10,341
11.38,156,EXIT_ZONE,Kitchen,0.20,341
11.41,210,ENTER_ZONE,Dining,0.00,342
11.41,202,ENTER_ZONE,Kitchen,0.00,342
11.44,202,EXIT_ZONE,Kitchen,0.03,343
11.48,202,ENTER_ZONE,Kitchen,0.00,344
11.48,184,EXIT_ZONE,Kitchen,0.20,344
11.48,185,EXIT_ZONE,Dining,1.27,344
11.48,155,EXIT_ZONE,Kitchen,0.20,344
11.58,35,ENTER_ZONE,Kitchen,0.00,347
11.58,196,ENTER_ZONE,Kitchen,0.00,347
11.58,14,EXIT_ZONE,Kitchen,1.70,347
11.71,202,EXIT_ZONE,Kitchen,0.23,351
11.75,211,ENTER_ZONE,Kitchen,0.00,352
11.75,212,ENTER_ZONE,Kitchen,0.00,352
11.81,212,EXIT_ZONE,Kitchen,0.07,354
11.81,35,EXIT_ZONE,Kitchen,0.23,354
11.81,211,EXIT_ZONE,Kitchen,0.07,354
11.81,196,EXIT_ZONE,Kitchen,0.23,354
11.85,218,ENTER_ZONE,Kitchen,0.00,355
12.11,196,ENTER_ZONE,Kitchen,0.00,363
12.21,35,ENTER_ZONE,Kitchen,0.00,366
12.31,210,EXIT_ZONE,Dining,0.90,369
12.31,210,ENTER_ZONE,Kitchen,0.00,369
12.31,14,ENTER_ZONE,Kitchen,0.00,369
12.31,35,EXIT_ZONE,Kitchen,0.10,369
12.31,196,EXIT_ZONE,Kitchen,0.20,369
12.41,196,ENTER_ZONE,Kitchen,0.00,372
12.41,14,EXIT_ZONE,Kitchen,0.10,372
12.51,30,ENTER_ZONE,Kitchen,0.00,375
12.51,155,ENTER_ZONE,Kitchen,0.00,375
12.51,14,ENTER_ZONE,Kitchen,0.00,375
12.58,30,EXIT_ZONE,Kitchen,0.07,377
12.61,14,EXIT_ZONE,Kitchen,0.10,378
12.75,220,ENTER_ZONE,Kitchen,0.00,382
13.01,212,ENTER_ZONE,Kitchen,0.00,390
13.01,210,EXIT_ZONE,Kitchen,0.70,390
13.01,84,EXIT_ZONE,Kitchen,1.63,390
13.11,220,EXIT_ZONE,Kitchen,0.37,393
13.15,224,ENTER_ZONE,Kitchen,0.00,394
13.21,224,EXIT_ZONE,Kitchen,0.07,396
13.25,225,ENTER_ZONE,Kitchen,0.00,397
13.25,210,ENTER_ZONE,Kitchen,0.00,397
13.41,224,ENTER_ZONE,Kitchen,0.00,402
13.41,225,EXIT_ZONE,Kitchen,0.17,402
13.41,218,EXIT_ZONE,Kitchen,1.57,402
13.45,228,ENTER_ZONE,Kitchen,0.00,403
13.51,224,EXIT_ZONE,Kitchen,0.10,405
13.51,210,EXIT_ZONE,Kitchen,0.27,405
13.55,212,EXIT_ZONE,Kitchen,0.53,406
